date,estate_id,estate_name,region,month,quarter,month_sin,month_cos,area_ha,plant_age_years,fertilizer_kg_per_ha,rainfall_mm,rainy_days,rainfall_lag_1,rainfall_lag_3,rainfall_3m_avg,rainfall_6m_avg,working_days,disruption_days,tbs_lag_1,tbs_lag_3,tbs_lag_6,tbs_lag_12,tbs_rolling_mean_3,tbs_rolling_mean_6,tbs_rolling_mean_12,tbs_growth_1m,tbs_growth_12m,tbs_production_ton
2020-01-01,EST001,Estate Lampung 01,Sumatra,1,1,0.49999999999999994,0.8660254037844387,4250,10,8.872941176470588,259.0,16.0,248.0,208.35,245.79999999999998,221.9416666666667,23.0,1.0,8680.5,7933.2,9134.3,8132.4,8177.3,8281.833333333334,8307.6,-0.04174874719198196,0.02283458757562351,8318.1
2020-02-01,EST001,Estate Lampung 01,Sumatra,2,1,0.8660254037844386,0.5000000000000001,4250,10,9.668941176470588,194.2,15.0,259.0,230.4,233.73333333333335,221.04166666666666,23.0,0.0,8318.1,7918.2,7770.7,8492.3,8305.6,8145.8,8323.075,0.016349887594522716,-0.004498192480246632,8454.1
2020-03-01,EST001,Estate Lampung 01,Sumatra,3,1,1.0,6.123233995736766e-17,4250,10,10.175058823529412,187.9,15.0,194.2,248.0,213.70000000000002,221.3083333333333,25.0,0.0,8454.1,8680.5,8254.1,8186.5,8484.233333333332,8259.7,8319.891666666666,0.15168971268378661,0.18933610211934293,9736.5
2020-04-01,EST001,Estate Lampung 01,Sumatra,4,2,0.8660254037844387,-0.4999999999999998,4250,10,10.671764705882353,194.9,12.0,187.9,259.0,192.33333333333334,219.0666666666667,22.0,0.0,9736.5,8318.1,7933.2,7936.4,8836.233333333332,8506.766666666668,8449.058333333332,0.03668669439737071,0.27182349679955653,10093.7
2020-05-01,EST001,Estate Lampung 01,Sumatra,5,2,0.49999999999999994,-0.8660254037844387,4250,10,9.149411764705881,172.7,10.0,194.9,194.2,185.16666666666666,209.45000000000002,22.0,2.0,10093.7,8454.1,7918.2,8551.4,9428.1,8866.85,8628.833333333334,-0.13515361066804055,0.02082699908786867,8729.5
2020-06-01,EST001,Estate Lampung 01,Sumatra,6,2,1.2246467991473532e-16,-1.0,4250,10,8.608,194.9,14.0,172.7,187.9,187.5,200.6,24.0,1.0,8729.5,9736.5,8680.5,8701.2,9519.900000000001,9002.066666666668,8643.675000000001,0.1747751875823358,0.17859605571645298,10255.2
2020-07-01,EST001,Estate Lampung 01,Sumatra,7,3,-0.4999999999999997,-0.8660254037844388,4250,10,8.197882352941177,153.3,9.0,194.9,194.9,173.63333333333333,182.98333333333335,25.0,3.0,10255.2,10093.7,8318.1,9134.3,9692.800000000001,9264.516666666668,8773.175000000001,-0.13575551915125994,-0.029701236000569176,8863.0
2020-08-01,EST001,Estate Lampung 01,Sumatra,8,3,-0.8660254037844384,-0.5000000000000004,4250,10,9.447058823529412,145.1,11.0,153.3,172.7,164.43333333333334,174.79999999999998,22.0,3.0,8863.0,8729.5,8454.1,7770.7,9282.566666666666,9355.333333333334,8750.566666666668,0.09140245966377081,0.24481706924730084,9673.1
2020-09-01,EST001,Estate Lampung 01,Sumatra,9,3,-1.0,-1.8369701987210297e-16,4250,10,11.20564705882353,234.6,16.0,145.1,194.9,177.66666666666666,182.58333333333334,25.0,2.0,9673.1,10255.2,9736.5,8254.1,9597.1,9558.5,8909.1,0.08374771272911485,0.27005972789280475,10483.2
2020-10-01,EST001,Estate Lampung 01,Sumatra,10,4,-0.8660254037844386,0.5000000000000001,4250,10,12.604470588235294,214.4,12.0,234.6,153.3,198.03333333333333,185.83333333333334,26.0,3.0,10483.2,8863.0,10093.7,7933.2,9673.1,9682.949999999999,9094.858333333334,-0.2047084859584859,0.050925225634044446,8337.2
2020-11-01,EST001,Estate Lampung 01,Sumatra,11,4,-0.5000000000000004,0.8660254037844384,4250,10,11.278117647058824,243.7,19.0,214.4,145.1,230.9,197.66666666666666,23.0,1.0,8337.2,9673.1,8729.5,7918.2,9497.833333333334,9390.2,9128.525,0.10083721153384806,0.15908918693642482,9177.9
2020-12-01,EST001,Estate Lampung 01,Sumatra,12,4,-2.4492935982947064e-16,1.0,4250,10,10.330588235294117,224.0,18.0,243.7,234.6,227.36666666666665,202.51666666666665,23.0,0.0,9177.9,10483.2,10255.2,8680.5,9332.766666666668,9464.933333333334,9233.5,-0.016267337844169116,0.04010137664881053,9028.6
2021-01-01,EST001,Estate Lampung 01,Sumatra,1,1,0.49999999999999994,0.8660254037844387,4250,11,10.923294117647059,239.4,15.0,224.0,214.4,235.70000000000002,216.86666666666667,23.0,1.0,9028.6,8337.2,8863.0,8318.1,8847.9,9260.5,9262.508333333333,-0.05978778548169161,0.02052151332636054,8488.8
2021-02-01,EST001,Estate Lampung 01,Sumatra,2,1,0.8660254037844386,0.5000000000000001,4250,11,10.798588235294117,244.8,16.0,239.4,243.7,236.0666666666667,233.48333333333332,25.0,1.0,8488.8,9177.9,9673.1,8454.1,8898.433333333332,9198.133333333333,9276.733333333334,0.16280275186127602,0.1675754959132254,9870.8
2021-03-01,EST001,Estate Lampung 01,Sumatra,3,1,1.0,6.123233995736766e-17,4250,11,8.605411764705883,202.2,14.0,244.8,224.0,228.79999999999998,228.08333333333334,25.0,1.0,9870.8,9028.6,10483.2,9736.5,9129.4,9231.083333333334,9394.791666666666,-0.06297361915954114,-0.05004878549786873,9249.2
2021-04-01,EST001,Estate Lampung 01,Sumatra,4,2,0.8660254037844387,-0.4999999999999998,4250,11,11.072235294117647,192.6,15.0,202.2,239.4,213.20000000000002,224.44999999999996,24.0,1.0,9249.2,8488.8,8337.2,10093.7,9202.933333333332,9025.416666666666,9354.183333333334,0.10343597284089423,0.01111584453669101,10205.9
2021-05-01,EST001,Estate Lampung 01,Sumatra,5,2,0.49999999999999994,-0.8660254037844387,4250,11,10.866588235294117,183.0,13.0,192.6,244.8,192.6,214.33333333333334,23.0,0.0,10205.9,9870.8,9177.9,8729.5,9775.300000000001,9336.866666666667,9363.533333333333,0.04472902928698108,0.22142161635832514,10662.4
2021-06-01,EST001,Estate Lampung 01,Sumatra,6,2,1.2246467991473532e-16,-1.0,4250,11,10.216941176470588,179.7,15.0,183.0,202.2,185.1,206.95000000000002,24.0,0.0,10662.4,9249.2,9028.6,10255.2,10039.166666666666,9584.283333333333,9524.608333333332,-0.14207870648259302,-0.10801349559247997,9147.5
2021-07-01,EST001,Estate Lampung 01,Sumatra,7,3,-0.4999999999999997,-0.8660254037844388,4250,11,8.457882352941176,161.0,10.0,179.7,192.6,174.5666666666667,193.88333333333333,23.0,0.0,9147.5,10205.9,8488.8,8863.0,10005.266666666666,9604.1,9432.300000000001,-0.03961738179830554,-0.008789348978901046,8785.1
2021-08-01,EST001,Estate Lampung 01,Sumatra,8,3,-0.8660254037844384,-0.5000000000000004,4250,11,9.416941176470589,226.7,14.0,161.0,183.0,189.13333333333333,190.86666666666667,24.0,1.0,8785.1,10662.4,9870.8,9673.1,9531.666666666666,9653.483333333334,9425.808333333332,0.16838738318288904,0.06112828359057576,10264.4
2021-09-01,EST001,Estate Lampung 01,Sumatra,9,3,-1.0,-1.8369701987210297e-16,4250,11,9.728,197.7,11.0,226.7,179.7,195.13333333333333,190.11666666666665,24.0,1.0,10264.4,9147.5,9249.2,10483.2,9399.0,9719.083333333334,9475.083333333334,0.007345777639218953,-0.013679029304029422,10339.8
2021-10-01,EST001,Estate Lampung 01,Sumatra,10,4,-0.8660254037844386,0.5000000000000001,4250,11,10.928705882352942,193.6,12.0,197.7,161.0,206.0,190.28333333333333,26.0,3.0,10339.8,8785.1,10205.9,8337.2,9796.433333333332,9900.85,9463.133333333333,-0.15516741136192191,0.04776183850693272,8735.4
2021-11-01,EST001,Estate Lampung 01,Sumatra,11,4,-0.5000000000000004,0.8660254037844384,4250,11,10.64,262.6,17.0,193.6,226.7,217.9666666666667,203.55000000000004,24.0,0.0,8735.4,10264.4,10662.4,9177.9,9779.866666666667,9655.766666666666,9496.316666666668,0.010943975089864333,-0.03779731746913784,8831.0
2021-12-01,EST001,Estate Lampung 01,Sumatra,12,4,-2.4492935982947064e-16,1.0,4250,11,10.01435294117647,229.1,18.0,262.6,197.7,228.43333333333337,211.78333333333333,25.0,1.0,8831.0,10339.8,9147.5,9028.6,9302.066666666666,9350.533333333333,9467.408333333335,0.03192163967840567,0.0093369957690006,9112.9
