date,estate_id,tbs_production_ton,cpo_production_ton,kernel_production_ton,tbs_outlier_flag,cpo_extraction_rate,kernel_extraction_rate,rainfall_mm,rainy_days,fertilizer_kg,working_days,disruption_days,estate_name,region,area_ha,planting_year,plant_age_years,tbs_yield_ton_per_ha,month,month_name,year,rainfall_category,fertilizer_kg_per_ha
2019-01-01,EST001,8132.4,1600.4,487.9,False,0.1967930746151198,0.05999458954306232,265.4,18.0,44558.0,25.0,0.0,Estate Lampung 01,Sumatra,4250,2010,9,1.9135058823529412,1,Jan,2019,Optimal,10.484235294117648
2019-02-01,EST001,8492.3,1805.1,443.2,False,0.21255725775113926,0.05218845306925097,238.5,17.0,51306.0,23.0,1.0,Estate Lampung 01,Sumatra,4250,2010,9,1.9981882352941174,2,Feb,2019,Optimal,12.072
2019-03-01,EST001,8186.5,1597.9,413.1,False,0.19518719843645027,0.050461125022903563,247.2,15.0,43954.0,23.0,0.0,Estate Lampung 01,Sumatra,4250,2010,9,1.926235294117647,3,Mar,2019,Optimal,10.342117647058824
2019-04-01,EST001,7936.4,1398.5,415.7,False,0.17621339650219245,0.052378912353208004,247.1,17.0,36406.0,23.0,3.0,Estate Lampung 01,Sumatra,4250,2010,9,1.8673882352941176,4,Apr,2019,Optimal,8.566117647058823
2019-05-01,EST001,8551.4,1856.5,513.1,False,0.21709895455714856,0.060001871038660344,192.1,13.0,41455.0,25.0,0.0,Estate Lampung 01,Sumatra,4250,2010,9,2.0120941176470586,5,May,2019,Optimal,9.754117647058823
2019-06-01,EST001,8701.2,1631.0,391.8,False,0.1874454098285294,0.04502827196248793,181.1,13.0,40334.0,22.0,0.0,Estate Lampung 01,Sumatra,4250,2010,9,2.047341176470588,6,Jun,2019,Optimal,9.49035294117647
2019-07-01,EST001,9134.3,1818.8,405.5,False,0.19911761163964398,0.044393111677961096,215.5,15.0,43317.0,26.0,2.0,Estate Lampung 01,Sumatra,4250,2010,9,2.149247058823529,7,Jul,2019,Optimal,10.192235294117648
2019-08-01,EST001,7770.7,1606.2,359.2,False,0.20669952513930534,0.0462249218217149,199.6,17.0,32804.0,24.0,0.0,Estate Lampung 01,Sumatra,4250,2010,9,1.8284,8,Aug,2019,Optimal,7.718588235294118
2019-09-01,EST001,8254.1,1675.5,414.0,False,0.2029900291976109,0.0501568917265359,186.3,11.0,34159.0,22.0,1.0,Estate Lampung 01,Sumatra,4250,2010,9,1.9421411764705883,9,Sep,2019,Optimal,8.037411764705883
2019-10-01,EST001,7933.2,1716.8,328.2,False,0.21640699843694852,0.04137044320072606,208.35,15.0,51248.0,24.0,1.0,Estate Lampung 01,Sumatra,4250,2010,9,1.866635294117647,10,Oct,2019,Optimal,12.058352941176471
2019-11-01,EST001,7918.2,1640.5,396.8,False,0.20718092495769241,0.050112399282665254,230.4,14.0,36671.0,26.0,1.0,Estate Lampung 01,Sumatra,4250,2010,9,1.8631058823529412,11,Nov,2019,Optimal,8.628470588235293
2019-12-01,EST001,8680.5,1624.0,507.5,False,0.18708599735038303,0.0584643741719947,248.0,16.0,51928.0,25.0,0.0,Estate Lampung 01,Sumatra,4250,2010,9,2.042470588235294,12,Dec,2019,Optimal,12.218352941176471
2020-01-01,EST001,8318.1,1913.2,422.2,False,0.2300044481311838,0.050756783400055294,259.0,16.0,37710.0,23.0,1.0,Estate Lampung 01,Sumatra,4250,2010,10,1.9572,1,Jan,2020,Optimal,8.872941176470588
2020-02-01,EST001,8454.1,1715.5,410.3,False,0.20291929359718952,0.04853266462426515,194.2,15.0,41093.0,23.0,0.0,Estate Lampung 01,Sumatra,4250,2010,10,1.9892,2,Feb,2020,Optimal,9.668941176470588
