date,estate_id,tbs_production_ton,cpo_production_ton,kernel_production_ton,tbs_outlier_flag,cpo_extraction_rate,kernel_extraction_rate
2019-01-01,EST001,8132.4,1600.4,487.9,False,0.1967930746151198,0.05999458954306232
2019-02-01,EST001,8492.3,1805.1,443.2,False,0.21255725775113926,0.05218845306925097
2019-03-01,EST001,8186.5,1597.9,413.1,False,0.19518719843645027,0.050461125022903563
2019-04-01,EST001,7936.4,1398.5,415.7,False,0.17621339650219245,0.052378912353208004
2019-05-01,EST001,8551.4,1856.5,513.1,False,0.21709895455714856,0.060001871038660344
2019-06-01,EST001,8701.2,1631.0,391.8,False,0.1874454098285294,0.04502827196248793
2019-07-01,EST001,9134.3,1818.8,405.5,False,0.19911761163964398,0.044393111677961096
2019-08-01,EST001,7770.7,1606.2,359.2,False,0.20669952513930534,0.0462249218217149
2019-09-01,EST001,8254.1,1675.5,414.0,False,0.2029900291976109,0.0501568917265359
2019-10-01,EST001,7933.2,1716.8,328.2,False,0.21640699843694852,0.04137044320072606
2019-11-01,EST001,7918.2,1640.5,396.8,False,0.20718092495769241,0.050112399282665254
2019-12-01,EST001,8680.5,1624.0,507.5,False,0.18708599735038303,0.0584643741719947
2020-01-01,EST001,8318.1,1913.2,422.2,False,0.2300044481311838,0.050756783400055294
2020-02-01,EST001,8454.1,1715.5,410.3,False,0.20291929359718952,0.04853266462426515
2020-03-01,EST001,9736.5,1925.8,456.7,False,0.19779181430698917,0.04690597237200226
2020-04-01,EST001,10093.7,2164.7,550.0,False,0.21446050506751732,0.05448943400338825
2020-05-01,EST001,8729.5,1778.6,400.4,False,0.20374591901025257,0.045867460908413996
2020-06-01,EST001,10255.2,2112.5,607.4,False,0.2059930571807473,0.059228488961697474
2020-07-01,EST001,8863.0,2038.5,528.8,False,0.23000112828613337,0.0596637707322577
2020-08-01,EST001,9673.1,1739.3,455.4,False,0.17980792093537748,0.04707901293277232
2020-09-01,EST001,10483.2,2046.7,523.6,False,0.19523618742368742,0.04994658119658119
2020-10-01,EST001,8337.2,1682.0,459.8,False,0.2017463896751907,0.055150410209662715
2020-11-01,EST001,9177.9,1983.1,509.1,False,0.2160733936957256,0.055470205602588835
