date,estate_id,actual,forecast,model,error,absolute_error
2025-01-01,EST001,8385.6,9199.8,Naive,-814.1999999999989,814.1999999999989
2025-02-01,EST001,9219.1,9199.8,Naive,19.30000000000109,19.30000000000109
2025-03-01,EST001,8661.8,9199.8,Naive,-538.0,538.0
2025-04-01,EST001,10508.3,9199.8,Naive,1308.5,1308.5
2025-05-01,EST001,10733.9,9199.8,Naive,1534.1000000000004,1534.1000000000004
2025-06-01,EST001,7719.9,9199.8,Naive,-1479.8999999999996,1479.8999999999996
2025-07-01,EST001,9791.0,9199.8,Naive,591.2000000000007,591.2000000000007
2025-08-01,EST001,10124.1,9199.8,Naive,924.3000000000011,924.3000000000011
2025-09-01,EST001,10449.1,9199.8,Naive,1249.300000000001,1249.300000000001
2025-10-01,EST001,9599.1,9199.8,Naive,399.3000000000011,399.3000000000011
2025-11-01,EST001,8497.5,9199.8,Naive,-702.2999999999993,702.2999999999993
2025-12-01,EST001,8566.4,9199.8,Naive,-633.3999999999996,633.3999999999996
2025-01-01,EST002,8203.5,8193.0,Naive,10.5,10.5
2025-02-01,EST002,8135.0,8193.0,Naive,-58.0,58.0
2025-03-01,EST002,9223.9,8193.0,Naive,1030.8999999999996,1030.8999999999996
2025-04-01,EST002,9101.6,8193.0,Naive,908.6000000000004,908.6000000000004
2025-05-01,EST002,8088.5,8193.0,Naive,-104.5,104.5
2025-06-01,EST002,9041.1,8193.0,Naive,848.1000000000004,848.1000000000004
2025-07-01,EST002,9993.7,8193.0,Naive,1800.7000000000007,1800.7000000000007
2025-08-01,EST002,7658.6,8193.0,Naive,-534.3999999999996,534.3999999999996
2025-09-01,EST002,8984.6,8193.0,Naive,791.6000000000004,791.6000000000004
2025-10-01,EST002,7226.5,8193.0,Naive,-966.5,966.5
2025-11-01,EST002,7602.1,8193.0,Naive,-590.8999999999996,590.8999999999996
2025-12-01,EST002,7350.8,8193.0,Naive,-842.1999999999998,842.1999999999998
2025-01-01,EST003,10105.6,10456.3,Naive,-350.6999999999989,350.6999999999989
2025-02-01,EST003,10093.2,10456.3,Naive,-363.09999999999854,363.09999999999854
2025-03-01,EST003,9797.6,10456.3,Naive,-658.6999999999989,658.6999999999989
2025-04-01,EST003,11862.5,10456.3,Naive,1406.2000000000007,1406.2000000000007
2025-05-01,EST003,10953.5,10456.3,Naive,497.2000000000007,497.2000000000007
2025-06-01,EST003,11070.1,10456.3,Naive,613.8000000000011,613.8000000000011
2025-07-01,EST003,10757.0,10456.3,Naive,300.7000000000007,300.7000000000007
2025-08-01,EST003,10478.0,10456.3,Naive,21.700000000000728,21.700000000000728
2025-09-01,EST003,10788.8,10456.3,Naive,332.5,332.5
2025-10-01,EST003,10036.1,10456.3,Naive,-420.1999999999989,420.1999999999989
2025-11-01,EST003,9892.1,10456.3,Naive,-564.1999999999989,564.1999999999989
2025-12-01,EST003,10478.7,10456.3,Naive,22.400000000001455,22.400000000001455
2025-01-01,EST004,9740.3,9425.5,Naive,314.7999999999993,314.7999999999993
2025-02-01,EST004,9854.6,9425.5,Naive,429.10000000000036,429.10000000000036
2025-03-01,EST004,10893.2,9425.5,Naive,1467.7000000000007,1467.7000000000007
2025-04-01,EST004,11732.9,9425.5,Naive,2307.3999999999996,2307.3999999999996
2025-05-01,EST004,10975.4,9425.5,Naive,1549.8999999999996,1549.8999999999996
2025-06-01,EST004,13146.8,9425.5,Naive,3721.2999999999993,3721.2999999999993
2025-07-01,EST004,10662.3,9425.5,Naive,1236.7999999999993,1236.7999999999993
2025-08-01,EST004,10017.7,9425.5,Naive,592.2000000000007,592.2000000000007
2025-09-01,EST004,11090.9,9425.5,Naive,1665.3999999999996,1665.3999999999996
2025-10-01,EST004,10548.4,9425.5,Naive,1122.8999999999996,1122.8999999999996
2025-11-01,EST004,9449.5,9425.5,Naive,24.0,24.0
2025-12-01,EST004,10677.6,9425.5,Naive,1252.1000000000004,1252.1000000000004
2025-01-01,EST005,11025.7,11409.9,Naive,-384.1999999999989,384.1999999999989
2025-02-01,EST005,10944.6,11409.9,Naive,-465.2999999999993,465.2999999999993
2025-03-01,EST005,11756.6,11409.9,Naive,346.7000000000007,346.7000000000007
2025-04-01,EST005,11774.8,11409.9,Naive,364.89999999999964,364.89999999999964
2025-05-01,EST005,10938.0,11409.9,Naive,-471.89999999999964,471.89999999999964
2025-06-01,EST005,13354.1,11409.9,Naive,1944.2000000000007,1944.2000000000007
2025-07-01,EST005,12998.4,11409.9,Naive,1588.5,1588.5
2025-08-01,EST005,11597.8,11409.9,Naive,187.89999999999964,187.89999999999964
2025-09-01,EST005,14292.4,11409.9,Naive,2882.5,2882.5
2025-10-01,EST005,13589.2,11409.9,Naive,2179.300000000001,2179.300000000001
